Date(UTC),UnixTimeStamp,Value
3/12/17,1489276800,4.8529E+19
3/13/17,1489363200,7.63627E+19
3/14/17,1489449600,7.48226E+19
3/15/17,1489536000,6.4308E+19
3/16/17,1489622400,8.53989E+19
3/17/17,1489708800,8.89662E+19
3/18/17,1489795200,6.05198E+19
3/19/17,1489881600,5.70035E+19
3/20/17,1489968000,5.69492E+19
3/21/17,1490054400,6.42187E+19
3/22/17,1490140800,6.01965E+19
3/23/17,1490227200,6.09991E+19
3/24/17,1490313600,7.3289E+19
3/25/17,1490400000,5.80925E+19
3/26/17,1490486400,5.81047E+19
3/27/17,1490572800,7.77392E+19
3/28/17,1490659200,6.38821E+19
3/29/17,1490745600,6.9325E+19
3/30/17,1490832000,7.11051E+19
3/31/17,1490918400,7.74007E+19
4/1/17,1491004800,5.72229E+19
4/2/17,1491091200,6.62671E+19
4/3/17,1491177600,7.47845E+19
4/4/17,1491264000,6.49799E+19
4/5/17,1491350400,6.83127E+19
4/6/17,1491436800,7.33886E+19
4/7/17,1491523200,7.2419E+19
4/8/17,1491609600,5.23271E+19
4/9/17,1491696000,5.68057E+19
4/10/17,1491782400,6.30386E+19
4/11/17,1491868800,5.89153E+19
4/12/17,1491955200,8.0689E+19
4/13/17,1492041600,6.16585E+19
4/14/17,1492128000,6.28964E+19
4/15/17,1492214400,5.78053E+19
4/16/17,1492300800,5.51177E+19
4/17/17,1492387200,6.04733E+19
4/18/17,1492473600,7.37448E+19
4/19/17,1492560000,7.83965E+19
4/20/17,1492646400,7.17928E+19
4/21/17,1492732800,9.21974E+19
4/22/17,1492819200,7.49201E+19
4/23/17,1492905600,6.50892E+19
4/24/17,1492992000,7.29798E+19
4/25/17,1493078400,7.85742E+19
4/26/17,1493164800,7.47897E+19
4/27/17,1493251200,8.73127E+19
4/28/17,1493337600,7.9206E+19
4/29/17,1493424000,7.02027E+19
4/30/17,1493510400,7.89586E+19
5/1/17,1493596800,1.05538E+20
5/2/17,1493683200,1.12735E+20
5/3/17,1493769600,7.73135E+19
5/4/17,1493856000,9.24303E+19
5/5/17,1493942400,8.43533E+19
5/6/17,1494028800,8.43641E+19
5/7/17,1494115200,1.05734E+20
5/8/17,1494201600,9.5606E+19
5/9/17,1494288000,1.06667E+20
5/10/17,1494374400,1.04905E+20
5/11/17,1494460800,1.09393E+20
5/12/17,1494547200,1.0906E+20
5/13/17,1494633600,1.06924E+20
5/14/17,1494720000,1.06379E+20
5/15/17,1494806400,1.32123E+20
5/16/17,1494892800,1.37144E+20
5/17/17,1494979200,2.20219E+20
5/18/17,1495065600,1.58499E+20
5/19/17,1495152000,1.73986E+20
5/20/17,1495238400,1.5558E+20
5/21/17,1495324800,1.60523E+20
5/22/17,1495411200,1.82632E+20
5/23/17,1495497600,2.53729E+20
5/24/17,1495584000,2.72091E+20
5/25/17,1495670400,2.1869E+20
5/26/17,1495756800,2.06056E+20
5/27/17,1495843200,1.82127E+20
5/28/17,1495929600,1.92526E+20
5/29/17,1496016000,1.92625E+20
5/30/17,1496102400,3.19926E+20
5/31/17,1496188800,6.34072E+20
6/1/17,1496275200,2.53293E+20
6/2/17,1496361600,2.91598E+20
6/3/17,1496448000,2.28135E+20
6/4/17,1496534400,2.55714E+20
6/5/17,1496620800,2.19924E+20
6/6/17,1496707200,2.65076E+20
6/7/17,1496793600,2.77963E+20
6/8/17,1496880000,2.39515E+20
6/9/17,1496966400,2.50508E+20
6/10/17,1497052800,2.1456E+20
6/11/17,1497139200,3.13878E+20
6/12/17,1497225600,5.12809E+20
6/13/17,1497312000,2.94642E+20
6/14/17,1497398400,2.54758E+20
6/15/17,1497484800,2.79621E+20
6/16/17,1497571200,2.57508E+20
6/17/17,1497657600,2.3866E+20
6/18/17,1497744000,2.51897E+20
6/19/17,1497830400,2.83021E+20
6/20/17,1497916800,7.20031E+20
6/21/17,1498003200,9.13388E+20
6/22/17,1498089600,6.84943E+20
6/23/17,1498176000,4.69929E+20
6/24/17,1498262400,6.40186E+20
6/25/17,1498348800,4.11721E+20
6/26/17,1498435200,8.75311E+20
6/27/17,1498521600,3.32033E+20
6/28/17,1498608000,7.73236E+20
6/29/17,1498694400,4.66282E+20
6/30/17,1498780800,3.52345E+20
7/1/17,1498867200,3.15745E+20
7/2/17,1498953600,3.17468E+20
7/3/17,1499040000,4.2592E+20
7/4/17,1499126400,3.77047E+20
7/5/17,1499212800,4.09091E+20
7/6/17,1499299200,3.04771E+20
7/7/17,1499385600,3.56294E+20
7/8/17,1499472000,3.60274E+20
7/9/17,1499558400,2.56113E+20
7/10/17,1499644800,2.61599E+20
7/11/17,1499731200,2.8729E+20
7/12/17,1499817600,3.30334E+20
7/13/17,1499904000,3.27422E+20
7/14/17,1499990400,2.75881E+20
7/15/17,1500076800,2.88041E+20
7/16/17,1500163200,2.76731E+20
7/17/17,1500249600,2.81509E+20
7/18/17,1500336000,4.23678E+20
7/19/17,1500422400,3.24839E+20
7/20/17,1500508800,2.56133E+20
7/21/17,1500595200,3.09642E+20
7/22/17,1500681600,2.24826E+20
7/23/17,1500768000,2.88494E+20
7/24/17,1500854400,3.0944E+20
7/25/17,1500940800,3.55486E+20
7/26/17,1501027200,2.94384E+20
7/27/17,1501113600,2.63944E+20
7/28/17,1501200000,2.81982E+20
7/29/17,1501286400,2.04175E+20
7/30/17,1501372800,2.08037E+20
7/31/17,1501459200,2.31201E+20
8/1/17,1501545600,2.63599E+20
